"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Australia","AUS","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","2064060925.0756","2227573076.49233","2384365550.45358","2515399260.83548","2705790122.07414","3087691790.79404","3496472169.33587","3888453354.239","4449546421.77176","4787770187.03102","5442938738.94053","6286258259.60354","7498831775.70093","9324791800.12812","12853352984.5247","16338932131.64","18782301777.3856","19263592567.1025","21131288066.7719","23421560831.5347","25819498607.2423","31504702194.3574","34421273309.0588","33065044454.8432","35447382720.5216","34096034363.734","34591494124.2306","35829804129.1689","42565483119.9069","52051950166.9245","53572912658.7149","59204928969.4686","61872644774.2829","58980466554.244","59196817710.1349","66188743688.7437","71874810318.6646","76578494287.0559","70264532320.4232","69972427622.5091","73856057275.639","67287216915.3161","69238174968.6061","82080372743.1567","107157490396.927","121773417531.198","130408805031.447","147961058333.988","181736794986.571","163215284935.945","206293490707.302","248753820368.727","278094452464.426","281197291474.3","259706233360.874","244145103585.989","225647838113.263","247448525529.829","268548949693.822","",
"Austria","AUT","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","840276904.234689","913699154.714273","991200415.345888","1109491777.49782","1219625187.0887","1341995627.13568","1494809778.0478","1694091708.03928","1844077452.59617","2057238842.43832","2200706906.58904","2570373664.5005","3142297458.18204","4334861761.19193","5401044243.22733","6725932290.43217","7381283884.32922","8768401715.0945","10956079598.2185","12955363149.7684","14388328547.1176","12761089165.3707","13076647253.3678","13231553700.0153","12501642390.4821","12890566706.5709","18604377827.8504","23284168480.6269","24685796723.5038","24206603328.1331","29922915042.9626","31557192103.7124","36069773729.0258","36744077487.2826","39576138296.5908","47218575133.0695","46419911619.4437","41708591723.9824","42676478434.8599","43097624121.0313","37824359683.0662","37447167785.2349","40197590814.9821","49668916478.5553","56844896945.6171","61129274965.8003","64707577468.3227","72859403230.2217","82926878570.3823","82772492358.9886","80308807893.0913","85778146041.7693","81314686238.0911","85652238669.8881","87527795784.6307","75453639229.8033","77725209814.9203","81519957439.9061","87450757621.068","",
"Azerbaijan","AZE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1558912385.58407","1707798598.67305","884444809.399608","1196850411.94771","779146369.054283","390535023.715702","381771681.004418","499749058.971142","673947029.167833","715262327.575746","798810277.809519","778911199.39869","773503394.3633","901343921.808186","1119772056.57881","1380473873.4927","1791918513.54377","3192751427.57254","4150073028.23758","4926723065.43916","5756571570.94805","6679371913.38483","7334903258.65581","7626513702.99554","8190998342.47099","6585594378.29397","4859184057.1536","4634731582.61678","4772588235.29412","",
"Burundi","BDI","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","5250000","5250000","7000000","10500000","14000000","11042370.3703704","11745142.8571429","12954285.7142857","14289142.8571429","15760000","23718857.1428571","26762285.7142857","31896000","35251043.4108915","43443809.5238095","48606984.1269841","39043478.2608696","61055555.5555556","84177777.7777778","100542222.222222","84777777.7777778","87888888.8888889","108000011.111111","90048413.1253362","77186542.4776543","90065456.9558373","118244722.781817","109663321.463257","115887317.924427","113445139.821135","122448979.591837","125710059.334593","208350335.808894","192339373.970346","161084131.827771","190584485.782237","173740710.156895","163190009.933305","153205090.696967","146745688.125488","129325488.781273","136193171.554164","121605261.65373","137011139.642719","175978962.857999","157512939.436963","193553003.080831","257677888.566433","325590870.739657","350946675.086036","445037624.671105","512002989.834136","543660766.377614","605551457.188223","700798034.922005","696039941.006361","694697480.706675","","","",
"Belgium","BEL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","1807609623.93212","1843417513.74983","2031066181.68402","2309761113.43482","2489925174.39426","2770447161.53714","3054076340.78027","3358271356.17047","3625359962.94914","4029505607.07386","4472139249.69746","5286349231.14875","6787312253.68894","8842497516.04223","10580394055.5095","13854155423.9333","15112163531.8704","18042577602.7012","22854869988.4719","26644435608.1453","28932486411.9189","25178483594.0895","21827639943.4928","20365066351.0848","19410752652.8903","19647742169.9844","27159487357.775","33559837925.4457","34227283708.1733","33506691134.3161","41406112626.7504","43806194447.7259","49086293851.9448","47731059468.2836","51542848565.2279","61189244663.3826","60505537459.2834","53398173207.0365","54352967326.0725","54683784359.6846","49661230882.6239","50609664429.5302","56732825145.8686","71302257336.3431","81725478023.3424","85638229075.9856","89717350395.1825","101850123186.422","116972901713.784","116395943317.588","113899046372.484","125289277513.178","120790662841.556","127578740744.191","129155406908.262","108444327799.962","109851262334.414","114885504032.822","123884429186.724","",
"Benin","BEN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","22968893.7503237","23961099.6652126","25650804.301307","26982792.1722791","24650169.8586932","25651987.322335","24922825.1242274","28208832.1628092","29349906.9132231","29520627.7412808","32490222.0705918","33665454.4199973","41622427.0675117","50249182.1048306","47776384.5076561","62618723.8379024","60012428.0970327","62316911.409449","77241452.1401833","95194843.4009522","121450439.607042","118241723.539597","132985882.193981","157977887.032692","143263650.151148","160707710.628296","203866097.285666","242898873.215442","213712886.631512","166519176.460299","344355568.549442","321437724.4938","267058711.795493","346975907.128978","249826595.488115","313460085.217142","319036329.416107","299710075.601017","321998000.514618","327919920.623564","309982228.341028","322629711.809134","354381896.278875","511355551.605875","587561860.572176","645536668.473411","742603464.858103","851717665.400566","1097798529.85215","1197196953.82945","1174696180.11739","1280659916.02279","1358595851.22905","1512023317.94996","1486605382.11826","1410771333.81633","1225617633.44925","1207108675.8063","1309591627.89793","",
"Burkina Faso","BFA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","24540403.9477135","26806827.5271844","28651247.8072664","29105422.37394","28649692.6258361","21361731.3084217","19946391.7055793","19470616.570915","27895994.8231694","28277745.2728395","31836166.0922037","34424729.9136682","42038093.0501263","54536482.9415167","62086115.9279881","121185470.403321","98947400.7994965","113488727.594802","148267486.144828","188743230.588713","178005237.611789","164340311.425179","241868698.764661","230073059.260076","190420187.268026","268619372.532208","386741515.810155","472535131.007382","523729977.888065","526733087.425339","653040969.321399","680025883.450564","486888566.313666","497657653.024453","494006027.14747","599607283.324959","630849228.153362","580911814.104322","625419149.059152","533900017.096774","543070126.227209","725544429.112523","679084667.430525","835766946.438259","1005188867.82281","1079945877.29571","1260819434.14113","1615111168.79182","1788123496.55609","1810503991.85745","1853492086.24669","2205439212.52237","2327474878.41488","2547131811.18938","2791575902.83466","2416414250.07545","2721549251.59551","3209063531.0824","3615095816.25782","",
"Bangladesh","BGD","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","264683510.317678","306058050.340569","320794153.921782","369253339.496539","450302065.443207","535034770.410181","834008154.365551","812754113.54329","896353297.721964","1122779517.89291","1202978077.20668","","","318518185.323223","580918578.960582","615303717.890942","411558202.020202","491170058.177117","647561970.899471","978098764.78318","1113864967.70026","889228886.168911","821107784.431138","758796296.296296","822040000","897961538.461538","914766666.666667","1006709677.41935","1107115357.54429","1195576380.82025","1280759819.01789","1280504201.68067","1411432360.74271","1643015873.01587","1648977556.10973","1756567164.1791","2195378973.10513","2365409836.06557","2562048458.14978","2583839434.27621","2654144305.3071","2616234247.59081","2748598293.57479","3085129533.67876","3368965517.24138","3597300813.00813","3907014571.17332","4266764290.47205","4744921294.27197","5219957549.44595","5850788801.63276","6557250345.88443","6720252984.44273","7673708924.81606","9227797041.96448","10542520729.813","13046863719.9395","14973040950.455","17418930239.5807","",
"Bulgaria","BGR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","2717692307.69231","2927857142.85714","2903333333.33333","2566722222.22222","2662166666.66667","2843578947.36842","3431823529.41177","4741461538.46154","3682000000","3635722222.22222","3752272727.27273","2082903225.80645","2104896907.21649","2042028985.50725","1666918819.18819","2913690476.19048","1702641933.6706","1374100719.42446","2757441490.57032","2671818033.41133","2634860829.84034","2760745182.40491","3158883004.33317","4263461649.44884","5073519141.6418","5428117654.53275","6239915346.6299","7410076976.90693","9328522285.37242","8689272766.0482","8338906186.54393","9099751155.35016","8522273324.57293","9471701954.39739","9571292904.62624","8099240535.02607","8336085972.85068","9086660904.63843","10752866626.4333","",
"Bahrain","BHR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","400371451.313346","501595744.680851","620478723.404255","676861702.12766","803723670.212766","831914893.617021","830850797.87234","826861702.12766","902127659.574468","948669946.808511","1024202127.65957","1079787234.04255","1133510638.29787","1158244680.85106","1170212765.95745","1219414893.61702","1234840425.53191","1236968085.10638","1284042553.19149","1378191489.3617","1469000000","1549329255.31915","1733719414.89362","1917718882.97872","2030176329.78723","2244684574.46809","2352500000","2629281914.89362","2846010638.29787","3206382978.7234","3324202127.65957","3981515957.44681","4748404255.31915","5060611702.12766","5383856382.97872","5491382978.7234","5485106382.97872","5888351063.82979","6621377659.57447","",
