"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahamas, The","BHS","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","109300000","128400000","143800000","167000000","197300000","208900000","238000000","264000000","289100000","300100000","326400000","","415270000","407120000","440580000","427270000","397990000","482680000","476200000","516870000","635500000","650800000","705500000","747400000","802400000","846300000","862300000","907700000","959200000","1041000000","1072200000","1177300000","1265000000","1263700000","1385600000","1403100000","1341600000","1323100000","1450800000","1411700000","1581700000","","",
"Bosnia and Herzegovina","BIH","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1629965206.92974","2033463185.22793","2299532063.49206","2425249570.80181","2686114424.98878","3326238628.41148","4220361743.55902","4132474607.57156","3972490688.69777","4305065036.6053","4025127447.11602","4149384970.47044","4242631257.63126","3566227955.76978","3545557377.97636","3670236256.77077","3959797223.89861","",
"Belarus","BLR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150000000","4000000000","2592592592.59259","3008264462.80992","3063108425.64619","2871348663.76631","3032769230.76923","2871167770.75951","3023803329.86472","2367448203.9351","2480952515.75164","2662805755.39568","3069067560.02233","3811457825.451","4768472222.22222","6278737233.05478","7097948717.94872","8386812674.74371","10041151685.3933","8190762620.83781","9167841557.56965","8305407035.17588","8911299028.42749","10143265765.7658","10840267996.8701","8424042446.3142","7470094491.35505","8566268177.81918","9321652925.00982","",
"Belize","BLZ","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","30598844.2200765","32356135.8436355","34214348.7251354","36179278.77242","38257054.7523201","40454157.4067459","42777439.6666153","45234148.026669","47831945.1478406","50578933.757681","53483681.9233845","58200000","70083550","83084450","88794350","88563700","90697100","95077100","98749700","98945900","107405650","114144050","133424200","144803700","147663350","161001600","172585350","194061900","210451250","212629650","222796800","229364750","235180200","245254200","255470600","268898500","298316650","306013550","","",
"Bermuda","BMU","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","846956000","890330000","889513000","880664000","836700000","","","","","","",
"Bolivia","BOL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","32304379.0380474","37563231.43959","41069133.0406184","46161037.7468739","51252942.4531294","69612794.6127946","77777777.7777778","82239057.2390572","90740740.7407407","97138047.1380471","98653198.6531987","113215488.215488","127792403.159082","124437781.109445","197301349.325337","252023988.005997","296301849.075462","378510744.627686","476811594.202899","666166747.535938","611745513.866232","774877650.897227","655515617.659591","487846997.36649","821133259.56421","567910296.821346","374061374.846511","483740905.662214","523508237.4566","563118944.302443","572207775.834082","645186002.345975","726397384.950647","766751307.120583","811529704.577427","911431368.872779","985813463.130099","1101948309.00405","1208255022.59487","1226016619.64077","1220997655.04973","1280186017.64822","1262339191.07392","1335298986.83936","1426434853.83065","1525422942.93401","1643827949.47326","1844520964.94803","2213912520.89579","2550498717.94872","2717783430.95757","3301411417.03907","3640055426.91751","4243716787.26483","4852764833.57453","5773469898.69754","5925527351.66425","6384586107.09117","7060669898.69754","",
"Brazil","BRA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","2138974629.37547","2231397941.40397","2326350972.23237","2966120462.55023","2484615117.43754","2369143212.96947","3017566424.24558","3529668109.99594","3771368224.9048","4051070562.89625","4793453718.79043","5423630148.39019","6294656311.57992","8281010087.40018","10243651651.0189","13159614701.0133","16062972517.3168","16622737159.8975","19388031460.2157","21913453012.1884","21617804789.319","24559797774.6854","28184385846.1171","19640729543.5582","17317201192.6828","22002970828.7361","28621223440.4954","35771188291.3845","41603302534.6565","65963601562.5","89120000000","107910000000","68354375000","77332826086.9565","88359142812.4511","160999653154.626","167966249427.918","172535650463.822","173353880137.872","118575189287.486","123008335720.142","108201029589.321","100625653655.874","106513362820.929","123606614769.231","168428953171.213","210882714706.018","264649515381.85","319483052459.374","327580029808.943","420057980900.409","488425394548.063","456802007065.69","467174528083.113","470409689757.756","356420691935.435","366192318715.964","410118904869.336","368420840768.515","",
"Barbados","BRB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","66705113.6082372","75537977.8421","85743970.500299","94302689.8026152","104559240.292348","128374683.040819","159697707.950082","163575796.748372","172077760.652314","192711181.822702","226868194.699945","233083080.59464","247352458.60886","267140655.297569","305324914.234575","285586436.633023","269775766.916919","238400000","257793466.911948","260776612.141401","273405260.279421","314274349.922935","324615920.051708","378163376.9204","383632476.507731","414250000","420650000","454750000","620700000","608650000","637750000","611850000","758750000","844300000","895550000","834500000","881350000","670750000","660350000","639100000","611100000","617600000","627514050","","",
"Brunei Darussalam","BRN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","185481554.433912","201998903.555012","131941071.717662","129949987.701894","82673702.7264732","108065851.191024","409116383.336447","191224499.455673","235514018.691589","363464268.812115","","","","","","725529405.732451","775172413.793103","835841630.006946","976058931.860037","1060774848.37232","1104491292.3923","1266403273.59955","1290070921.98582","1307920258.62069","1209966539.19694","1316224188.79056","1549160034.80278","1646639950.88463","1587620462.41483","1578204855.92928","1736076677.31629","1754607366.01778","2071810686.63856","2770486364.54117","2467118261.36043","2499312525.78028","3036303630.36304","3469274187.13729","3512323943.66197","3648497442.45524","3662194159.43173","3240235653.50207","2989613842.03287","3211184082.84452","3275332331.90189","",
"Bhutan","BTN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","31051526.7175573","28202655.8891455","29506871.0359408","33833168.3168317","39868838.028169","40873484.236055","37420301.3481364","35510802.4691358","35807471.2643678","54158964.8798521","44717304.3974871","44639401.9349165","46882716.0493827","38652017.0547721","40261396.2384444","36154794.9429541","65845328.8173864","80250619.6640044","73657295.2011634","76014862.9818857","96372040.4984424","102587980.504344","110891287.800864","127083312.580507","146728175.198588","179399208.61678","190792762.707749","228660635.815084","238421393.304708","270261136.693709","316841874.827778","365280759.794731","349777787.758341","311854711.269024","330889815.58099","365780983.883564","372963381.367447","415528088.990443","","",
"Botswana","BWA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","5515491.37810178","6397369.52567511","7453385.67222767","8473088.21473508","9783493.65676844","11726930.0572386","13528591.3528591","15132496.5132497","15690376.5690377","16014482.6625818","18076493.5790061","20763422.8187919","22038746.5869198","35441579.0231955","52685798.3811626","67410412.4408384","79576816.9273229","104572446.555819","124728326.491186","159141104.294479","226389603.70561","266403728.935102","264397397.300185","302990245.236576","310343499.691929","256202039.314622","333776808.046405","528590148.311394","631767472.383244","698918060.44965","914915345.337275","955282944.202612","1092927904.44139","1164685733.15175","1219176041.12344","1421758891.85484","1269809277.42013","1414813191.62923","1440450554.91138","1503286912.89681","1441452036.53612","1289324111.48394","1217168684.21884","1653202791.9756","1839178077.52136","1926714171.10207","1725413168.62557","1924702433.7004","2227459652.25798","2165291512.34784","2526196081.60622","2838074347.05039","3099583560.00117","2764022562.47842","3239458116.55396","2967390660.47981","2846741643.12186","3207578715.4261","3473086124.40191","",
"Central African Republic","CAF","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","21615432.7716989","23648367.5901624","25304686.7953206","25304428.601514","31833200.5589584","33461066.2084404","33783999.7329843","36178721.2973611","38373808.1398519","37698018.4689526","37988003.0289096","38132391.2818474","43646015.3570482","52941095.844931","56085312.0026323","64858444.3586924","61100518.7266819","62683247.7408593","85971585.0549443","109532843.867289","120693149.267606","104146929.229773","118987391.294689","111266798.664798","90855676.775296","130838729.207613","174932047.071679","209731526.875595","204053608.516016","194972983.461559","221578404.553214","229058559.007242","241813308.912479","195015160.900486","140305008.224894","166341312.52349","130071639.777274","111160530.259082","110859904.148102","169743629.639868","148922091.929184","130551123.849566","137102751.524344","118053965.216467","132502392.648814","116457165.845669","100166268.208176","108081761.557446","140006984.718472","147933347.494411","163452734.530374","174031870.481902","160606518.243596","155432758.481095","139783992.597312","121565746.526119","127605318.105213","156503771.036529","","",
"Canada","CAN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","6735980889.88639","6910767580.28752","7393547249.13045","8102109115.01127","8918507811.78217","10479738095.9252","12097805303.8037","13756236260.1696","15595645055.7667","18668772131.3044","21237868884.9277","24107485604.6065","27107289271.0729","33669734151.3292","39178136059.7719","45997971602.4341","48112834978.8434","48521083545.1915","52172613966.1943","59045501197.3999","65756943865.2098","72209613358.1908","77491885751.3794","78603968805.4977","80760161113.1454","83733717164.4476","93147812971.3424","107588364345.494","121206081081.081","134821734658.896","147109190887.667","145295772317.366","138313309045.81","131519478617.458","131242349169.338","130917491749.175","130036833742.597","125764071452.646","131074241098.472","142299508450.609","144170325413.223","150446695979.099","178178573977.589","199357417371.253","223781152005.281","253942172073.343","282755795549.763","306240862230.553","301930714723.121","347331886872.437","379214461589.188","385014582980.598","382325710984.663","365963384878.334","324965188724.922","321572966014.269","341180961453.255","357048911911.667","",
"Central Europe and the Baltics","CEB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76123478094.563","78668997409.9075","76642130898.9068","83275799730.1803","83486477650.3155","81540095590.4682","89301652228.8121","101725952533.126","125519929011.304","144561977814.668","167386489679.483","188171062148.031","228262587031.678","283360759283.157","248862495326.824","252122792522.95","264713491149.654","244175506354.186","257280737512.658","264908412779.584","230370222101.505","237298073013.933","261784697266.986","296279827034.997","",
"Switzerland","CHE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","721609013.678168","886485843.115504","1029537794.08011","1179137284.69077","1295999428.32149","1266833594.3304","1351084958.17042","1435527753.42065","1546586305.52789","1698238737.02324","2006877018.0654","2510466677.95544","3071418610.74019","4265296416.83519","5087152619.74289","6325788943.55557","6903779324.69195","7258566923.23695","10074833333.3333","11394927768.088","11948441785.5225","11126932033.3978","11692482982.8104","11982299175.8373","11214093714.0912","11493645720.5649","16706559452.9991","20817532591.2017","22941914371.6258","23062792041.0783","29861754678.9519","31388434588.5635","33924205376.1912","32476901055.7661","35880317028.5881","41650973530.6554","40450992880.2589","34214658650.8647","34563955442.13","34043890627.0803","31496082484.6045","32539442344.1574","36360492685.7436","43219520383.1588","47324663369.5215","48317566655.9589","48752787605.6787","52355031906.0313","61220803988.5514","63769622185.4609","67731074128.3004","81720427179.7746","79222342406.4817","82150611769.8635","84895721541.3437","81124862804.5356","80334894801.8587","81353246210.7428","83542287116.7318","",
"Channel Islands","CHI","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","425936694.021102","485892772.433161","601914576.663824","545534394.858463","570897321.103348","645858533.503613","794191920.345003","784062332.646106","794793689.73101","931602202.218898","1167298199.88471","1661259169.22625","1906237752.64624","2214342519.94897","2552389312.55454","1195560528.40551","1445886521.36737","2034922874.0096","2307329739.7907","3117086135.74601","3614508828.12244","4480454280.76782","3996143423.73414","2921043128.32956","2643383145.05777","2164664077.00436","2376668021.24727","2421831974.5937","2698875509.65481","3014668042.64686","3230163356.60782","3657001997.30829","4446539794.5281","4946313192.71594","5671595155.40959","7219185066.41127","8577843765.97861","9447406506.40338","9292174849.55137","9159770570.77715","9407596433.66884","8603873392.13154","8521647387.43577","8865213363.46544","10875159039.4238","13005474825.5302","15363192044.1281","17799333269.9159","19888477492.4827","21405405006.8475","26462145744.0796","30052009771.7957","31853962037.6372","34243556550.1363","33091350426.4588","31694583044.7158","34510196708.007","38910253449.8049","42267199982.1294","",
